language,description,url
literate-agda,Literate Agda,https://agda.readthedocs.io/en/latest/tools/literate-programming.html
literate-cryptol,Literate Cryptol,https://www.cryptol.net
literate-haskell,Literate Haskell,https://wiki.haskell.org/Literate_programming
literate-idris,Literate Idris,https://idris2.readthedocs.io/en/latest/reference/literate.html
livescript,LiveScript,https://livescript.net/
llvm,LLVM,https://llvm.org/docs/LangRef.html
llvm-mir,LLVM-MIR,https://llvm.org/docs/MIRLangRef.html
llvm-mir-body,LLVM-MIR Body,https://llvm.org/docs/MIRLangRef.html
logos,Logos,https://isocpp.org/
logtalk,Logtalk,http://logtalk.org/
lsl,LSL,https://wiki.secondlife.com/wiki/Linden_Scripting_Language
lua,Lua,https://www.lua.org/
luau,Luau,https://luau-lang.org/
macaulay2,Macaulay2,https://macaulay2.com/
make,Makefile,https://en.wikipedia.org/wiki/Make_(software)
mako,Mako,http://www.makotemplates.org/
maple,Maple,https://www.maplesoft.com/products/Maple/
maql,MAQL,https://help.gooddata.com/doc/enterprise/en/dashboards-and-insights/maql-analytical-query-language
markdown,Markdown,https://daringfireball.net/projects/markdown/
mask,Mask,https://github.com/atmajs/MaskJS
mason,Mason,http://www.masonhq.com/
mathematica,Mathematica,http://www.wolfram.com/mathematica/
matlab,Matlab,https://www.mathworks.com/products/matlab.html
matlabsession,Matlab session,https://www.mathworks.com/products/matlab.html
maxima,Maxima,http://maxima.sourceforge.net
mcfunction,MCFunction,https://minecraft.wiki/w/Commands
mcschema,MCSchema,https://learn.microsoft.com/en-us/minecraft/creator/reference/content/schemasreference/
meson,Meson,https://mesonbuild.com/
mime,MIME,https://en.wikipedia.org/wiki/MIME
minid,MiniD,http://jfbillingsley.com/croc
miniscript,MiniScript,https://miniscript.org
mips,MIPS,https://mips.com
modelica,Modelica,http://www.modelica.org/
modula2,Modula-2,http://www.modula2.org/
mojo,Mojo,https://docs.modular.com/mojo/
monkey,Monkey,https://blitzresearch.itch.io/monkeyx
monte,Monte,https://monte.readthedocs.io/
moocode,MOOCode,http://www.moo.mud.org/
moonscript,MoonScript,http://moonscript.org
mosel,Mosel,https://www.fico.com/fico-xpress-optimization/docs/latest/mosel/mosel_lang/dhtml/moselreflang.html
mozhashpreproc,mozhashpreproc,https://firefox-source-docs.mozilla.org/build/buildsystem/preprocessor.html
mozpercentpreproc,mozpercentpreproc,https://firefox-source-docs.mozilla.org/build/buildsystem/preprocessor.html
mql,MQL,https://isocpp.org/
mscgen,Mscgen,http://www.mcternan.me.uk/mscgen/
mupad,MuPAD,http://www.mupad.com
mxml,MXML,https://en.wikipedia.org/wiki/MXML
myghty,Myghty,http://www.myghty.org/
mysql,MySQL,https://www.mysql.com
nasm,NASM,https://nasm.us
ncl,NCL,https://www.ncl.ucar.edu
nemerle,Nemerle,http://nemerle.org
nesc,nesC,https://en.wikipedia.org/wiki/C_(programming_language)
nestedtext,NestedText,https://nestedtext.org
newlisp,NewLisp,http://www.newlisp.org/
newspeak,Newspeak,http://newspeaklanguage.org/
ng2,Angular2,https://angular.io/guide/template-syntax
nginx,Nginx configuration file,http://nginx.net/
nimrod,Nimrod,http://nim-lang.org/
nit,Nit,http://nitlanguage.org
nixos,Nix,http://nixos.org/nix/
nodejsrepl,Node.js REPL console session,https://nodejs.org
notmuch,Notmuch,https://notmuchmail.org/
